dateReferentiel	route	longueur	prD	depPrD	concessionPrD	absD	cumulD	xD	yD	zD	prF	depPrF	concessionPrF	absF	cumulF	xF	yF	zF	anneeMesureTrafic	typeComptageTrafic	TMJA	ratioPL
2018-01-01	A0003	234	15	93	N	0	14769	661828,24	6874285,56	0	15	93	N	234	15003	662054,31	6874505,58	0	2018	1	169954	11,2
2018-01-01	A0004	730,1	0	94	N	0	0	655327,41	6858648,39	0	0	94	N	730,1	730,1	655913,12	6858057,42	0	2018	1	205891	
2018-01-01	A0004	2255,9	0	94	N	730,1	730,1	655913,12	6858057,42	0	2	94	N	968	2986	658101,96	6857611,05	0	2018	1	205891	
2018-01-01	A0004	744	2	94	N	968	2986	658101,96	6857611,05	0	3	94	N	708	3730	658839,93	6857621,59	0	2018	1	205891	
2018-01-01	A0004	1114	3	94	N	708	3730	658839,93	6857621,59	0	4	94	N	820	4844	659928,26	6857581,56	0	2018	1	205891	
2018-01-01	A0004	465	4	94	N	820	4844	659928,26	6857581,56	0	5	94	N	266	5309	660289,91	6857857,29	0	2018	1	226204	8,1
2018-01-01	A0004	744	5	94	N	266	5309	660289,91	6857857,29	0	6	94	N	5	6053	660644,54	6858469,45	0	2018	1	226204	8,1
2018-01-01	A0004	591	6	94	N	5	6053	660644,54	6858469,45	0	6	94	N	596	6644	661159,54	6858749,04	0	2018	1	226204	8,1
2018-01-01	A0004	1123	6	94	N	596	6644	661159,54	6858749,04	0	7	94	N	720	7767	662253,98	6858982,53	0	2018	1	226204	8,1
2018-01-01	A0004	1441	7	94	N	720	7767	662253,98	6858982,53	0	9	94	N	158	9208	663631,57	6858755,68	0	2018	1	158586	
2018-01-01	A0004	3337	9	94	N	158	9208	663631,57	6858755,68	0	12	94	N	464	12545	666569,29	6859712,71	0	2018	1	158586	
2018-01-01	A0004	236	12	94	N	464	12545	666569,29	6859712,71	0	12	94	N	700	12781	666813,7	6859697,02	0	2018	1	158586	
2018-01-01	A0004	858	13	93	C	0	13081	667107,88	6859671,17	0	13	93	C	858	13939	667951,08	6859600,37	0	2018		158113	4,76
2018-01-01	A0004	1471	13	93	C	858	13939	667951,08	6859600,37	0	15	93	C	329	15410	669403	6859476,1	0	2018		175637	4,64
2018-01-01	A0004	271	15	93	C	329	15410	669403	6859476,1	0	15	93	C	600	15681	669668,52	6859438,86	0	2018		139192	5,98
2018-01-01	A0004	2435	15	93	C	600	15681	669668,52	6859438,86	0	18	77	C	35	18116	672042,48	6858927,22	0	2018		139192	5,98
2018-01-01	A0004	700,1	18	77	C	35	18116	672042,48	6858927,22	0	18	77	C	735,1	18816,1	672734,35	6858963,23	0	2018		173093	7,64
2018-01-01	A0004	564,9	18	77	C	735,1	18816,1	672734,35	6858963,23	0	19	77	C	300	19381	673291,03	6859029	0	2018		173093	7,64
2018-01-01	A0004	700	19	77	C	300	19381	673291,03	6859029	0	20	77	C	0	20081	673981,97	6859111,11	0	2018		173093	7,64
2018-01-01	A0004	1406	20	77	C	0	20081	673981,97	6859111,11	0	21	77	C	406	21487	675391,58	6859186,65	0	2018		177048	14,55
